category_name,url,img,div_id,div_class,price
Lighting,https://www.amazon.com/b?_encoding=UTF8&node=21217035011&ref_=cct_cg_SHnav2_2a1&pf_rd_p=12b44fc7-b592-4f55-b8d7-32c20b211ef1&pf_rd_r=ZCR7PBA1S24QPJKX1950,https://m.media-amazon.com/images/G/01/kindle/journeys/MmI3ODZmYmQt/Amazon_basics_image.png,,_Y29ud_bxcGridImage_mukPG _Y29ud_bxcGridHalign_3QrYc _Y29ud_bxcGridHalignCenter_YYl_I,
Smart Locks and Entry,https://www.amazon.com/b?ie=UTF8&node=21216824011&ref_=cct_cg_SHnav2_2b1&pf_rd_p=12b44fc7-b592-4f55-b8d7-32c20b211ef1&pf_rd_r=ZCR7PBA1S24QPJKX1950,https://m.media-amazon.com/images/G/01/us-manual-merchandising/Moen.440x400.MyQ.EN.jpg,,_Y29ud_bxcGridImage_mukPG _Y29ud_bxcGridHalign_3QrYc _Y29ud_bxcGridHalignCenter_YYl_I,
Smart Security Cameras and Systems,https://www.amazon.com/b?_encoding=UTF8&node=21217034011&ref_=cct_cg_SHnav2_2c1&pf_rd_p=12b44fc7-b592-4f55-b8d7-32c20b211ef1&pf_rd_r=ZCR7PBA1S24QPJKX1950,https://m.media-amazon.com/images/G/01/us-manual-merchandising/Category_tile_TV_400x400_Climate_control_EN.1.jpg,,_Y29ud_bxcGridImage_mukPG _Y29ud_bxcGridHalign_3QrYc _Y29ud_bxcGridHalignCenter_YYl_I,
Smart Plugs and Outlets,https://www.amazon.com/b?_encoding=UTF8&node=21217037011&ref_=cct_cg_SHnav2_2d1&pf_rd_p=12b44fc7-b592-4f55-b8d7-32c20b211ef1&pf_rd_r=ZCR7PBA1S24QPJKX1950,https://m.media-amazon.com/images/G/01/us-manual-merchandising/RBS-in-house-Graphics/Enbrighten_EN_400x400_V2.jpg,,_Y29ud_bxcGridImage_mukPG _Y29ud_bxcGridHalign_3QrYc _Y29ud_bxcGridHalignCenter_YYl_I,
New Smart Devices,https://www.amazon.com/b?_encoding=UTF8&node=19185106011&ref_=cct_cg_SHnav2_2e1&pf_rd_p=12b44fc7-b592-4f55-b8d7-32c20b211ef1&pf_rd_r=ZCR7PBA1S24QPJKX1950,https://m.media-amazon.com/images/G/01/us-manual-merchandising/Category_tile_TV_400x400_rework_EN.jpg,,_Y29ud_bxcGridImage_mukPG _Y29ud_bxcGridHalign_3QrYc _Y29ud_bxcGridHalignCenter_YYl_I,
Climate Control,https://www.amazon.com/b/ref=SHCC?_encoding=UTF8&ie=UTF8&node=23528055011&ref_=cct_cg_SHnav2_3a1&pf_rd_p=12b44fc7-b592-4f55-b8d7-32c20b211ef1&pf_rd_r=ZCR7PBA1S24QPJKX1950,https://m.media-amazon.com/images/G/01/SmartHome/Packages/66525_Amazon_categorytile_ClimateControl_400x400_superside_EN_1.png,,_Y29ud_bxcGridImage_mukPG _Y29ud_bxcGridHalign_3QrYc _Y29ud_bxcGridHalignCenter_YYl_I,
Smart Detectors and Sensors,https://www.amazon.com/b?ie=UTF8&node=21217048011&ref_=cct_cg_SHnav2_3b1&pf_rd_p=12b44fc7-b592-4f55-b8d7-32c20b211ef1&pf_rd_r=ZCR7PBA1S24QPJKX1950,https://m.media-amazon.com/images/G/01/us-manual-merchandising/RBS-in-house-Graphics/Moen_ct_400x400_En2.jpg,,_Y29ud_bxcGridImage_mukPG _Y29ud_bxcGridHalign_3QrYc _Y29ud_bxcGridHalignCenter_YYl_I,
Home Entertainment,https://www.amazon.com/b?ie=UTF8&node=21216826011&ref_=cct_cg_SHnav2_3c1&pf_rd_p=12b44fc7-b592-4f55-b8d7-32c20b211ef1&pf_rd_r=ZCR7PBA1S24QPJKX1950,https://m.media-amazon.com/images/G/01/us-manual-merchandising/RBS-in-house-Graphics/he_400x400.jpg,,_Y29ud_bxcGridImage_mukPG _Y29ud_bxcGridHalign_3QrYc _Y29ud_bxcGridHalignCenter_YYl_I,
Smart Pet,https://www.amazon.com/b?ie=UTF8&node=21221447011&ref_=cct_cg_SHnav2_3d1&pf_rd_p=12b44fc7-b592-4f55-b8d7-32c20b211ef1&pf_rd_r=ZCR7PBA1S24QPJKX1950,https://m.media-amazon.com/images/G/01/us-manual-merchandising/RBS-in-house-Graphics/pet-en-400.jpg,,_Y29ud_bxcGridImage_mukPG _Y29ud_bxcGridHalign_3QrYc _Y29ud_bxcGridHalignCenter_YYl_I,
Voice Assistants and Hubs,https://www.amazon.com/b?_encoding=UTF8&node=9818047011&ref=MARS_NAV_desktop_plswitcher_echo&ref_=cct_cg_SHnav2_3e1&pf_rd_p=12b44fc7-b592-4f55-b8d7-32c20b211ef1&pf_rd_r=ZCR7PBA1S24QPJKX1950,https://m.media-amazon.com/images/G/01/us-manual-merchandising/DBS-879-SH-US-EN-LP-tile_440x440.jpg.1.jpg,,_Y29ud_bxcGridImage_mukPG _Y29ud_bxcGridHalign_3QrYc _Y29ud_bxcGridHalignCenter_YYl_I,
